ECO,OpeningShort,Opening,OpeningMoves,FEN,LastMove,lichess
A00,Uncommon Opening,Uncommon Opening,"g4; a3; h3; etc.",rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,,https://lichess.org/editor/rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR_-
A01,Nimzovich-Larsen Attack,Nimzovich-Larsen Attack,b3,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR,b2b3,https://lichess.org/editor/rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR_-
A02,Bird's Opening,Bird's Opening,f4,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR,f2f4,https://lichess.org/editor/rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR_-
A03,Bird's Opening,Bird's Opening,f4 d5,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR,d7d5,https://lichess.org/editor/rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR_-
A04,Réti Opening,Réti Opening,Nf3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R,g1f3,https://lichess.org/editor/rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R_-
A05,Réti Opening,Réti Opening,Nf3 Nf6,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R,g8f6,https://lichess.org/editor/rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R_-
A06,Réti Opening,Réti Opening,Nf3 d5,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R,d7d5,https://lichess.org/editor/rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R_-
A07,King's Indian Attack,King's Indian Attack,Nf3 d5 g3,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R,g2g3,https://lichess.org/editor/rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R_-
A08,King's Indian Attack,King's Indian Attack,Nf3 d5 g3 c5 Bg2,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R,f1g2,https://lichess.org/editor/rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R_-
A09,Réti Opening,Réti Opening,Nf3 d5 c4,rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R,c2c4,https://lichess.org/editor/rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R_-
A10,English,English,c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR,c2c4,https://lichess.org/editor/rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR_-
A11,English,"English; Caro-Kann Defensive System",c4 c6,rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR,c7c6,https://lichess.org/editor/rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR_-
A12,English,English with b3,c4 c6 Nf3 d5 b3,rnbqkbnr/pp2pppp/2p5/3p4/2P5/1P3N2/P2PPPPP/RNBQKB1R,b2b3,https://lichess.org/editor/rnbqkbnr/pp2pppp/2p5/3p4/2P5/1P3N2/P2PPPPP/RNBQKB1R_-
A13,English,English,c4 e6,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR,e7e6,https://lichess.org/editor/rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR_-
A14,English,English,c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 O-O,rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1,e1g1,https://lichess.org/editor/rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1_-
A15,English,English,c4 Nf6,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR,g8f6,https://lichess.org/editor/rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR_-
A16,English,English,c4 Nf6 Nc3,rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR,b1c3,https://lichess.org/editor/rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR_-
